"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","GDP","TOT","USD_CAP","A","2019",56701.10903,
"TUR","GDP","TOT","USD_CAP","A","2016",26695.909373,
"TUR","GDP","TOT","USD_CAP","A","2017",28283.087602,
"TUR","GDP","TOT","USD_CAP","A","2018",29155.185099,
"TUR","GDP","TOT","USD_CAP","A","2019",28422.872447,
"GBR","GDP","TOT","USD_CAP","A","2016",44125.534988,
"GBR","GDP","TOT","USD_CAP","A","2017",45903.892036,
"GBR","GDP","TOT","USD_CAP","A","2018",48651.565787,
"GBR","GDP","TOT","USD_CAP","A","2019",49912.445553,
"EST","GDP","TOT","USD_CAP","A","2016",31574.446846,
"EST","GDP","TOT","USD_CAP","A","2017",34010.353709,
"EST","GDP","TOT","USD_CAP","A","2018",37554.962719,
"EST","GDP","TOT","USD_CAP","A","2019",40040.294485,
"SVN","GDP","TOT","USD_CAP","A","2016",33942.76789,
"SVN","GDP","TOT","USD_CAP","A","2017",36632.304883,
"SVN","GDP","TOT","USD_CAP","A","2018",40181.328064,
"SVN","GDP","TOT","USD_CAP","A","2019",42409.479796,
"LVA","GDP","TOT","USD_CAP","A","2016",26712.835239,
"LVA","GDP","TOT","USD_CAP","A","2017",28757.540113,
"LVA","GDP","TOT","USD_CAP","A","2018",31786.670879,
"LVA","GDP","TOT","USD_CAP","A","2019",33013.933501,
"LTU","GDP","TOT","USD_CAP","A","2016",30925.151813,
"LTU","GDP","TOT","USD_CAP","A","2017",33869.715253,
"LTU","GDP","TOT","USD_CAP","A","2018",37493.452149,
"LTU","GDP","TOT","USD_CAP","A","2019",39911.871525,
"BGR","GDP","TOT","USD_CAP","A","2016",20019.638626,
"BGR","GDP","TOT","USD_CAP","A","2017",21455.573518,
"BGR","GDP","TOT","USD_CAP","A","2018",23634.167922,
"BGR","GDP","TOT","USD_CAP","A","2019",25312.301266,
"HRV","GDP","TOT","USD_CAP","A","2016",24887.753281,
"HRV","GDP","TOT","USD_CAP","A","2017",26851.047294,
"HRV","GDP","TOT","USD_CAP","A","2018",29433.683652,
"HRV","GDP","TOT","USD_CAP","A","2019",31133.096024,"P"
"ROU","GDP","TOT","USD_CAP","A","2016",24266.283962,
"ROU","GDP","TOT","USD_CAP","A","2017",27222.724222,
"ROU","GDP","TOT","USD_CAP","A","2018",30167.486697,
"ROU","GDP","TOT","USD_CAP","A","2019",33316.103697,"P"
