"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","HUR","MEN","PC_LF","A","2018",3.476322,
"HUN","HUR","MEN","PC_LF","A","2019",3.355884,
"FRA","HUR","MEN","PC_LF","A","2016",10.22373,
"FRA","HUR","MEN","PC_LF","A","2017",9.442865,
"FRA","HUR","MEN","PC_LF","A","2018",8.987396,
"FRA","HUR","MEN","PC_LF","A","2019",8.504076,
"GRC","HUR","MEN","PC_LF","A","2016",19.85748,
"GRC","HUR","MEN","PC_LF","A","2017",17.81989,
"GRC","HUR","MEN","PC_LF","A","2018",15.37272,
"GRC","HUR","MEN","PC_LF","A","2019",13.9869,
"LTU","HUR","MEN","PC_LF","A","2016",9.104442,
"LTU","HUR","MEN","PC_LF","A","2017",8.495442,
"LTU","HUR","MEN","PC_LF","A","2018",6.895273,
"LTU","HUR","MEN","PC_LF","A","2019",7.025509,
"SWE","HUR","MEN","PC_LF","A","2016",7.359866,
"SWE","HUR","MEN","PC_LF","A","2017",6.972512,
"SWE","HUR","MEN","PC_LF","A","2018",6.482273,"B"
"SWE","HUR","MEN","PC_LF","A","2019",6.721198,
"EST","HUR","MEN","PC_LF","A","2016",7.419362,
"EST","HUR","MEN","PC_LF","A","2017",6.189919,
"EST","HUR","MEN","PC_LF","A","2018",5.422224,
"EST","HUR","MEN","PC_LF","A","2019",4.075782,
"PRT","HUR","MEN","PC_LF","A","2016",10.97472,
"PRT","HUR","MEN","PC_LF","A","2017",8.408697,
"PRT","HUR","MEN","PC_LF","A","2018",6.564728,
"PRT","HUR","MEN","PC_LF","A","2019",5.797018,
"FIN","HUR","MEN","PC_LF","A","2016",9.033309,
"FIN","HUR","MEN","PC_LF","A","2017",8.872712,
"FIN","HUR","MEN","PC_LF","A","2018",7.421276,
"FIN","HUR","MEN","PC_LF","A","2019",7.173639,
"LVA","HUR","MEN","PC_LF","A","2016",10.89782,
"LVA","HUR","MEN","PC_LF","A","2017",9.760711,
"LVA","HUR","MEN","PC_LF","A","2018",8.411898,
"LVA","HUR","MEN","PC_LF","A","2019",7.201581,
"LUX","HUR","MEN","PC_LF","A","2016",6.019474,
"LUX","HUR","MEN","PC_LF","A","2017",5.524371,
"LUX","HUR","MEN","PC_LF","A","2018",5.336565,
"LUX","HUR","MEN","PC_LF","A","2019",5.643984,
"TUR","HUR","MEN","PC_LF","A","2016",9.554513,
"TUR","HUR","MEN","PC_LF","A","2017",9.381036,
"TUR","HUR","MEN","PC_LF","A","2018",9.510017,
"TUR","HUR","MEN","PC_LF","A","2019",12.3323,
"DEU","HUR","MEN","PC_LF","A","2016",4.452025,
"DEU","HUR","MEN","PC_LF","A","2017",4.118648,
"DEU","HUR","MEN","PC_LF","A","2018",3.792969,
"DEU","HUR","MEN","PC_LF","A","2019",3.491768,
"ISL","HUR","MEN","PC_LF","A","2016",2.93304,
"ISL","HUR","MEN","PC_LF","A","2017",2.76151,
"ISL","HUR","MEN","PC_LF","A","2018",2.844495,
"ISL","HUR","MEN","PC_LF","A","2019",3.838185,
"ESP","HUR","MEN","PC_LF","A","2016",18.11833,
"ESP","HUR","MEN","PC_LF","A","2017",15.65924,
"ESP","HUR","MEN","PC_LF","A","2018",13.72227,
"ESP","HUR","MEN","PC_LF","A","2019",12.44949,
"AUT","HUR","MEN","PC_LF","A","2016",6.42944,
"AUT","HUR","MEN","PC_LF","A","2017",5.914127,
"AUT","HUR","MEN","PC_LF","A","2018",5.024486,
"AUT","HUR","MEN","PC_LF","A","2019",4.610368,
